Stock A,Stock B,p-value
CHOLAFIN.NS,TATACHEM.NS,0.3842440664764896
AUROPHARMA.NS,LUPIN.NS,0.3882541150082945
HDFCBANK.NS,TATASTEEL.NS,0.39082128112604053
AXISBANK.NS,MUTHOOTFIN.NS,0.3919546887483978
SRF.NS,TATASTEEL.NS,0.3921451428931617
ONGC.NS,TATASTEEL.NS,0.3929858184542422
AUROPHARMA.NS,SUNPHARMA.NS,0.39460586351605587
AMBUJACEM.NS,RELIANCE.NS,0.39488962529065974
ASHOKLEY.NS,BPCL.NS,0.3948915356757673
BAJAJFINSV.NS,BHARATFORG.NS,0.39496922435960446
TECHM.NS,WIPRO.NS,0.39634102888047706
AXISBANK.NS,HEROMOTOCO.NS,0.3977817762294289
HDFCBANK.NS,TITAN.NS,0.3988353717802646
BAJFINANCE.NS,TATASTEEL.NS,0.4013083448932149
ICICIBANK.NS,PIDILITIND.NS,0.4014754139894985
IDFCFIRSTB.NS,LT.NS,0.40230380331527765
AUROPHARMA.NS,TORNTPHARM.NS,0.4030493124635251
AMBUJACEM.NS,BAJAJFINSV.NS,0.4038374403728945
